Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.3612,Sat Jun 02 17:04:03 +0000 2018,0.263,0.737,0.0,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,55,BBC
0.0,Sat Jun 02 16:04:07 +0000 2018,0.0,1.0,0.0,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,56,BBC
0.9337,Sat Jun 02 15:46:29 +0000 2018,0.0,0.53,0.47,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,57,BBC
-0.3412,Sat Jun 02 15:02:06 +0000 2018,0.131,0.869,0.0,"Anthony Hopkins. Emma Thompson. William Shakespeare...

👑 It really doesn't get much better than this.  
#KingLear https://t.co/wQBYFQIIlf",58,BBC
-0.7845,Sat Jun 02 14:04:04 +0000 2018,0.257,0.743,0.0,"📱 Are health apps actually bad for your health?

'The danger is when we reduce our self-worth to a number.'
👉… https://t.co/AOWkdvf3TY",59,BBC
0.5093,Sat Jun 02 13:09:14 +0000 2018,0.0,0.888,0.112,"RT @BBCSpringwatch: BREAKING NEWS! 🚨

Our wrens have started to fledge the nest 😍 Stay up to date at https://t.co/gIA23qZAHX
#Springwatch h…",60,BBC
-0.4767,Sat Jun 02 13:01:05 +0000 2018,0.171,0.829,0.0,"In 1966, a group of schoolchildren made some sad and uncannily accurate predictions about the future. https://t.co/gNGkpeyoZ9",61,BBC
0.4939,Sat Jun 02 12:02:03 +0000 2018,0.0,0.849,0.151,"🤔👔 This men's T-shirt shirt is selling for £935 and it's left loads of people pretty baffled.
👉… https://t.co/yONjwKqdkz",62,BBC
0.0,Sat Jun 02 11:06:03 +0000 2018,0.0,1.0,0.0,🦆 Swans have been borrowing items from @SteveBackshall to build their nests for the last few years.  https://t.co/d5S5PG9Ygi,63,BBC
0.4199,Sat Jun 02 09:00:14 +0000 2018,0.0,0.782,0.218,"📸🐶 Call the puparazzi, these divas are ready to shine! 💎https://t.co/zYrpgXF69z",64,BBC
0.0,Sat Jun 02 08:01:03 +0000 2018,0.0,1.0,0.0,"🙌❤️ Take us back to @NiallOfficial at #BiggestWeekend.

There's still time to catch up on this incredible set + lot… https://t.co/sP2h8cjgsw",65,BBC
-0.4019,Sat Jun 02 07:51:56 +0000 2018,0.119,0.881,0.0,"RT @bbcmusic: We knew @TaylorSwift13 was trouble when she touched down in Swansea 😅😍

Watch her showstopping @BBCR1 #BiggestWeekend set in…",66,BBC
0.0,Fri Jun 01 19:06:04 +0000 2018,0.0,1.0,0.0,🎤❤️ #BTS are on the lips and screens of fans everywhere as the #Kpop band smash records in real life and on social… https://t.co/h7KwxeZQm5,67,BBC
0.4588,Fri Jun 01 18:01:07 +0000 2018,0.0,0.667,0.333,😈 Cute...but deadly. https://t.co/lhpd0watrN,68,BBC
0.0,Fri Jun 01 16:33:00 +0000 2018,0.0,1.0,0.0,Leaving work on a Friday like... 👋💃#FridayFeeling @Camila_Cabello https://t.co/oJUssdSPfb,69,BBC
0.0,Fri Jun 01 16:04:04 +0000 2018,0.0,1.0,0.0,🧠🎞 A film where the plot changes depending on the viewer’s brain activity has been developed. https://t.co/7UCYCO7Xyz,70,BBC
0.4588,Fri Jun 01 15:29:31 +0000 2018,0.0,0.842,0.158,RT @BBCScotland: Watch one of Scotland's best-known structures appear from the mist in this stunning timelapse https://t.co/h0mUFTKcmQ,71,BBC
0.6249,Fri Jun 01 14:24:40 +0000 2018,0.0,0.797,0.203,"RT @bbcgetinspired: Meet the Nawaz family and hear how #SuperMovers is helping them get a better night’s sleep. 

Remember to check out Sup…",72,BBC
0.1779,Fri Jun 01 13:00:21 +0000 2018,0.115,0.7,0.185,"A natural hair dye based on the blackcurrant waste from the production of Ribena has been created by scientists.
👉… https://t.co/4e001z6rPc",73,BBC
0.5719,Fri Jun 01 12:32:03 +0000 2018,0.0,0.684,0.316,"Smithy knows how to celebrate #nationalfishandchipday properly. 😂🍟

https://t.co/FFV75BsW0Q",74,BBC
0.0,Fri Jun 01 12:01:05 +0000 2018,0.0,1.0,0.0,"🌽🍔🌮 Vegan junk food, anyone? 
#MillionPoundMenu https://t.co/MY5i9Xph5H",75,BBC
0.0772,Fri Jun 01 11:10:46 +0000 2018,0.0,0.947,0.053,RT @BBCTwo: Want to learn some quick Swedish and Danish? Here’s the cast of #TheBridge with some everyday phrases you might need… ☠😱 https:…,76,BBC
-0.6369,Fri Jun 01 11:00:16 +0000 2018,0.252,0.688,0.06,😢 @NatGeoMag has published a selection of startling photos highlighting the vast amounts of discarded plastic choki… https://t.co/vdjw1nnW36,77,BBC
